,x,y,avgE,stdE,avgFx,avgFy,stdFx,stdFy,loss,type,generation,E_1,E_2,E_3,E_4,E_5,Fx_1,Fx_2,Fx_3,Fx_4,Fx_5,Fy_1,Fy_2,Fy_3,Fy_4,Fy_5
0,-1.2,-1.2,10.323807,0.8480406,25.527336,26.464733,5.0958557,0.7554841,0.9689699,contour,2,9.484482,9.521618,11.249489,10.225857,11.137598,19.35102,22.318481,29.42113,24.72421,31.821833,25.860651,25.668257,27.310535,27.197338,26.286871
1,-1.1759198,-1.2,9.722771,0.7349194,24.38172,26.69981,4.723238,0.66397315,0.93673664,contour,2,9.027107,8.995613,10.554241,9.643278,10.393629,18.63105,21.35861,28.309456,23.653769,29.955723,26.187775,26.004465,27.41578,27.383911,26.507103
2,-1.1518395,-1.2,9.150064,0.6308266,23.174633,26.93015,4.345345,0.5759072,0.88714504,contour,2,8.587474,8.4934845,9.886805,9.087116,9.69545,17.876839,20.335415,27.109196,22.529108,28.022581,26.504547,26.333485,27.518417,27.56505,26.729229
3,-1.1277592,-1.2,8.607143,0.5359238,21.907368,27.153727,3.9671607,0.49225444,0.8225013,contour,2,8.1664295,8.016773,9.249428,8.558695,9.044432,17.086868,19.247112,25.810738,21.350382,26.041706,26.8085,26.653116,27.61766,27.739233,26.950146
4,-1.103679,-1.2,8.095455,0.45030743,20.582443,27.368423,3.592653,0.4143443,0.7456846,contour,2,7.764861,7.5670586,8.644595,8.0593,8.441481,16.259588,18.093855,24.405481,20.11863,24.034622,27.097042,26.961021,27.712696,27.90487,27.16647
5,-1.0795987,-1.2,7.6163306,0.3740792,19.203695,27.572042,3.2241476,0.34388354,0.6596974,contour,2,7.383674,7.145863,8.074949,7.5901804,7.886952,15.39337,16.878498,22.887487,18.83591,22.023197,27.367537,27.25472,27.802732,28.060328,27.374851
6,-1.0555184,-1.2,7.17098,0.3073657,17.776585,27.762476,2.8625317,0.2832632,0.5675675,contour,2,7.0238333,6.754629,7.5432396,7.1525283,7.3806963,14.4866085,15.607213,21.25565,17.505444,20.027977,27.617416,27.531696,27.88704,28.203997,27.572212
7,-1.0314381,-1.2,6.7605247,0.25037026,16.308413,27.937778,2.50812,0.23549215,0.47254708,contour,2,6.6863265,6.3945847,7.052141,6.7474575,6.922112,13.537901,14.289648,19.515972,16.131716,18.06679,27.844353,27.789368,27.964912,28.334352,27.75592
8,-1.0073578,-1.2,6.3858175,0.20324282,14.808527,28.096273,2.162026,0.20369726,0.37848017,contour,2,6.372184,6.0667014,6.604088,6.37592,6.5102005,12.546402,12.93839,17.683426,14.720493,16.15392,28.04639,28.025291,28.035793,28.449947,27.923939
9,-0.9832776,-1.2,6.0475044,0.16600302,13.288271,28.236622,1.8274795,0.18921286,0.28987092,contour,2,6.0824313,5.7716208,6.201048,6.038754,6.1436586,11.512236,11.56783,15.782463,13.278887,14.299892,28.222202,28.237177,28.09929,28.549597,28.074837
